product_id,test_mae,test_mape_pct,avg_weekly_demand,xgb_mae,xgb_mape_pct,winner
1,19.28,15.98,153.3,6.998715877532959,5.272337389273502,XGBoost
2,2.37,11.84,25.4,2.477440118789673,11.418987170838783,XGBoost
3,13.8,10.51,151.0,7.97585916519165,5.804036123496401,XGBoost
4,3.43,13.8,30.0,1.993517518043518,8.37121463675004,XGBoost
5,19.07,11.27,219.3,14.226397514343262,6.371978425129897,XGBoost
6,18.34,12.03,172.5,10.821904182434082,6.905252585131468,XGBoost
7,13.42,12.53,123.2,11.14043140411377,10.591135325010624,XGBoost
8,9.59,11.7,106.8,5.486156463623047,6.5894083917180115,XGBoost
9,16.36,13.05,149.2,9.014159202575684,6.814099557725656,XGBoost
10,7.86,14.98,77.9,4.0212507247924805,5.140392829592665,XGBoost
11,19.26,17.71,139.7,7.900210857391357,5.7343350996255555,XGBoost
12,17.29,10.67,187.6,10.542389869689941,6.074096675729196,XGBoost
13,4.91,11.3,49.8,4.719034194946289,10.097988295612891,XGBoost
14,9.95,11.71,114.8,6.445426940917969,5.877817567360797,XGBoost
15,14.47,19.39,95.0,6.8363494873046875,6.944260318747637,XGBoost
16,12.94,12.94,127.7,7.938308238983154,7.431438827892327,XGBoost
17,17.84,12.91,190.7,9.723230361938477,5.206229380737537,XGBoost
18,18.43,15.78,149.8,10.59630298614502,8.26585376432329,XGBoost
19,20.4,15.46,163.0,15.394293785095215,9.981555327309124,XGBoost
20,26.41,15.7,195.8,14.086512565612793,6.962648508212908,XGBoost
21,25.28,15.05,211.8,11.279597282409668,5.9786658427581765,XGBoost
22,10.41,13.66,91.8,5.278183460235596,5.688784619685233,XGBoost
23,13.57,16.93,107.7,7.101034641265869,7.823556168697881,XGBoost
24,22.55,12.4,218.9,14.3657865524292,6.729489699715777,XGBoost
25,3.12,13.68,28.2,2.542146921157837,10.86811196737174,XGBoost
26,6.62,13.83,64.9,2.8370754718780518,5.20452043791941,XGBoost
27,2.75,11.84,34.6,1.9114017486572266,6.954236223736852,XGBoost
28,11.51,18.07,82.1,5.911552429199219,6.9563210543542295,XGBoost
29,14.02,12.75,144.4,8.836803436279297,7.8552447455885925,XGBoost
30,17.44,13.19,189.7,8.515496253967285,4.668230602710388,XGBoost
31,3.28,15.71,30.8,1.776788592338562,6.62891323569023,XGBoost
32,14.8,13.87,119.0,8.383692741394043,7.804913833309414,XGBoost
33,16.6,17.75,110.2,6.685858249664307,6.328566719127367,XGBoost
34,4.4,18.32,32.2,2.4643049240112305,8.850393208805041,XGBoost
35,16.36,17.81,117.2,10.265393257141113,11.013693978517676,XGBoost
36,20.06,11.54,219.2,17.85053253173828,9.268396424640523,XGBoost
37,22.57,15.21,193.2,8.687577247619629,4.246018053649853,XGBoost
38,18.46,14.89,170.1,8.4362211227417,5.416774275848055,XGBoost
39,3.63,14.71,32.4,2.421391487121582,8.284173124648971,XGBoost
40,3.08,16.76,24.2,2.1884829998016357,10.39540362087852,XGBoost
