product_id,test_mae,test_mape_pct,avg_weekly_demand
1,19.28,15.98,153.3
2,2.37,11.84,25.4
3,13.8,10.51,151.0
4,3.43,13.8,30.0
5,19.07,11.27,219.3
6,18.34,12.03,172.5
7,13.42,12.53,123.2
8,9.59,11.7,106.8
9,16.36,13.05,149.2
10,7.86,14.98,77.9
11,19.26,17.71,139.7
12,17.29,10.67,187.6
13,4.91,11.3,49.8
14,9.95,11.71,114.8
15,14.47,19.39,95.0
16,12.94,12.94,127.7
17,17.84,12.91,190.7
18,18.43,15.78,149.8
19,20.4,15.46,163.0
20,26.41,15.7,195.8
21,25.28,15.05,211.8
22,10.41,13.66,91.8
23,13.57,16.93,107.7
24,22.55,12.4,218.9
25,3.12,13.68,28.2
26,6.62,13.83,64.9
27,2.75,11.84,34.6
28,11.51,18.07,82.1
29,14.02,12.75,144.4
30,17.44,13.19,189.7
31,3.28,15.71,30.8
32,14.8,13.87,119.0
33,16.6,17.75,110.2
34,4.4,18.32,32.2
35,16.36,17.81,117.2
36,20.06,11.54,219.2
37,22.57,15.21,193.2
38,18.46,14.89,170.1
39,3.63,14.71,32.4
40,3.08,16.76,24.2
